COUNTRY,Q3 07,Q4 07,Q1 08,Q2 08,Q3 08,Q4 08,Q1 09,Q2 09,Q3 09,Q4 09,Q1 10,Q2 10,Q3 10,Q4 10,Q1 11,Q2 11,Q3 11,Q4 11,Q1 12,Q2 12,Q3 12,Q4 12,Q1 13,Q2 13,Q3 13,
U.S. - OREGON,3332,3243,3534,3847,4036,4219,4569,4332,4265,4262,4456,4285,4793,4741,4916,5245,6084,5768,6805,7255,7861,7929,8589,9003,10812,
U.S. - PENNSYLVANIA,4084,4138,4199,4382,4517,4484,4645,4602,4587,4850,4759,4658,4804,4920,5195,5809,6060,6075,7255,7906,8071,8179,9208,9480,10811,
U.S. - RHODE ISLAND,5064,5064,5421,5470,5730,5379,5526,5345,5626,5479,5581,6175,6289,6829,6786,8228,8519,7489,8522,8986,9128,9327,9613,9940,11815,
U.S. - SOUTH CAROLINA,3651,3768,3730,3937,4154,4221,4403,4261,4296,4749,4600,4406,4894,5226,5244,5712,5890,5519,6654,6816,7169,7100,8052,8145,9093,
U.S. - SOUTH DAKOTA,3070,3026,3056,3036,3474,3220,3163,3513,3712,4692,4578,4364,4448,4454,4935,4957,5479,5374,6793,6915,7460,6840,8180,8492,9934,
U.S. - TENNESSEE,3717,3801,3876,4205,4458,4337,4310,4046,3678,3917,3819,3905,4442,4725,4915,5476,5520,5515,6546,6738,7069,7153,7648,7987,9447,
U.S. - TEXAS,3292,3398,3388,3644,4089,4010,4178,4029,4049,4331,4532,4534,4850,5050,5196,5593,5946,5289,6012,6225,6793,6927,7336,7801,9133,
U.S. - UTAH,4113,4829,5296,5261,5725,5799,6398,5033,5654,5365,5577,5199,6397,6494,6697,7033,7950,7497,8547,8063,9069,9477,10333,10289,11567,
U.S. - VERMONT,4838,5098,5030,5447,6170,5594,5867,5794,5909,5996,6275,6154,6670,6574,5914,7009,8268,7817,9079,9706,10376,10769,12358,8980,9373,
U.S. - VIRGINIA,3386,3509,3561,3611,4310,4238,4411,4348,4411,4708,4600,4869,5288,5537,5945,6815,6885,6846,7864,8339,8444,8796,10642,11086,12942,
U.S. - WASHINGTON,3652,3601,3884,4514,4754,4958,5217,5078,4809,5016,5191,5083,5514,5413,5624,6591,6936,6604,7866,8278,8506,8446,9619,10069,11423,
U.S. - WEST VIRGINIA,4132,3986,3941,3706,4129,3721,4044,3675,4162,4114,3883,4068,3894,3679,3867,4514,4977,4501,5089,5171,5348,5356,5849,6097,7155,
U.S. - WISCONSIN,4447,4245,4197,4300,4575,4496,4758,4487,4741,5207,5092,4984,5424,5553,5983,6294,6451,5797,6688,6762,7411,7346,7959,8342,10568,
U.S. - WYOMING,2987,2880,3021,3289,3132,3117,3385,3301,3034,2898,3191,3409,3741,3753,4135,4903,5104,4635,5507,5467,6104,5828,6473,7073,7650,
UKRAINE,1609,1281,1411,1479,1473,1371,1445,1598,1648,1954,1880,2279,2698,2937,3510,4117,4534,4103,4392,4395,4491,4677,5717,6766,7671,
UNITED ARAB EMIRATES,809,917,1527,1289,1553,1364,1677,2189,1810,1714,1222,1465,2366,4274,4079,3276,6123,4793,4699,5224,5656,5672,5864,4554,4507,
UNITED KINGDOM,3269,3267,3089,3195,3407,3565,3791,3416,3552,3849,3848,3955,4071,4329,4647,5062,5096,5079,5577,5660,6300,6470,7594,8399,9143,
UNITED STATES,3879,3911,3955,4163,4516,4462,4658,4515,4507,4669,4683,4592,4969,5030,5256,5777,6058,5766,6754,7112,7456,7612,8394,8675,9800,
URUGUAY,659,601,549,518,592,629,678,574,401,610,568,547,825,1105,897,990,966,1219,1326,1437,1608,1656,1713,1893,2198,
VENEZUELA,1119,893,818,731,835,828,895,754,649,825,705,721,839,975,782,791,837,943,906,971,1049,1034,1049,1254,1483,
VIETNAM,703,811,836,881,962,838,1070,1584,1433,1506,1681,1746,1228,1594,1365,1884,1543,1574,1610,1594,1253,1471,1359,1664,1962,
